Continent,Country,Information
asia,brunei,"[""Thanks to sizeable deposits of oil and gas, the tiny tropical sultanate of Brunei Darussalam has one of the highest standards of living in the world. Its two non-contiguous territories, situated on the northern coast of Borneo in South-East Asia, are home to some of the region's most pristine rain forest habitats."", ""The country only gained independence in 1984, but has the world's oldest reigning monarchy and centuries of royal heritage. At the helm of the only remaining Malay Islamic monarchy in the world, the Sultan of Brunei comes from a family line that dates back over 600 years. The current sultan, His Majesty Sultan Haji Hassanal Bolkiah, has been on the throne for 43 years and is one of the world's richest individuals."", 'Visitors to the ""Abode of Peace"" (the literal translation of darussalam) will find the country surprisingly laid-back and relaxing. In addition to admiring the gilded domes, towering minarets and extraordinary ornamentation of two landmark mosques in the capital, Bandar Seri Begawan, tourists can explore water villages by boat and on foot, learn about local culture in several interesting museums, sample delicious Malay cuising (some of the best can be found at open-air markets), and experience the incredibly biodiversity of the Bornean rain forest in Ulu Temburong National Park.', '5,765 sq km (2,226 sq miles).', '428,874 (UN estimate 2016).', '74.5 per sq km.', ""Bandar Seri Begawan (popularly known as 'BSB')."", 'Traditional Islamic monarchy.', 'Sultan Hassanal Bolkiah since 1967.', 'Sultan Hassanal Bolkiah since 1967.']"
asia,cambodia,"[""It might be one of Southeast Asia's smallest countries, but Cambodia can compete with the big boys when it comes to must-see sights. Once the preserve of trailblazing backpackers, this formerly war-torn nation is now firmly established on the Asia travel circuit. That luxury yachts ply their trade on Tonle Sap, Southeast Asia's largest freshwater lake, is a mark of just how far Cambodia has come.  Carving the country in two is the mighty Mekong River, which remains the lifeblood of Cambodia, running as it does from the bustling capital, Phnom Penh, to Vietnam's Mekong Delta. A journey down this iconic waterway is one of the great pleasures of Southeast Asia – boats of all shapes and sizes drift, chug and spray their way along the Mekong, carrying piglets, clay pots, bananas, motorcycles, you name it.  Away from the water, the ravages of war have become unlikely tourist attractions in Phnom Penh and other cities. Crowds gather at former prison camps and the notorious Killing Fields to contemplate Cambodia's darkest hour, a period of unimaginable suffering that took place under the brutal regime of Pol Pot. The crumbling remains of the Khmer Empire are the biggest draw in Cambodia, though. After building up a kingdom that stretched into neighbouring Thailand and China, the Khmers fell, leaving behind an extraordinary collection of temple complexes, most notably Angkor Wat, which owns the bragging rights to being the largest religious monument in the world. Then there are more typical Southeast Asian attractions – frenetic cities crammed with rickshaws, strange and exotic food, blissful beaches, tropical jungles teeming with wildlife, and a densely-forested hinterland full of tribal villages. There are few places that have been through as much as Cambodia, but this optimistic nation has belied its tumultuous history and emerged as one of the warmest, most welcoming destinations in Southeast Asia."", '181,035 sq km (69,900 sq miles).', '15,827,241 (UN estimate 2016).', '86.8 per sq km.', 'Phnom Penh.', 'Constitutional monarchy.', 'King Norodom Sihamoni since 2004.', 'Prime Minister Hun Manet since 2023.']"
asia,china,"['Colossal, dizzying and fiercely foreign, China isn’t easily compared to anywhere else on the planet. Home to approximately one fifth of the human race, it variously dazzles, befuddles, frustrates and thrills. The key visitor attractions are renowned around the globe – think the Great Wall, the Forbidden City, and the Terracotta Warriors – but it’s the sheer scale and off-kilter energy of the place that leave the most lasting impression.', ""The economic drive of recent times means many of China’s cities are as shaped by modernity as anywhere you care to mention, but it’s also somewhere underpinned by dearly held customs and a near-unfathomable amount of diversity. China's landscapes unfurl across the map in vast swathes of territory, and its sights, sounds and infinite oddities collectively amount to one of the world’s truly great travel experiences. The food’s fantastic too, and getting to grips with the different regional cuisines can be hugely enjoyable."", 'In other areas, tradition only counts for so much. The pace of development in its key cities – Shanghai, Beijing, Guangzhou and increasingly others – has thrown up skylines to rival almost any in the world. They’re emblematic of the ‘new’ China, a powerhouse both economically and politically; somewhere eager to make the rest of the world sit up and take notice. Even the ego-driven rulers of the past, from Qin Shi Huang through to Mao, would surely be amazed at just how influential their country has become.', 'Shift away from the urban sprawl and out into China’s rural areas, however, and you’re confronted with a very different reality. The scenery veers from lush terraced rice paddies and the harsh peaks of the Himalayas to the gorges of the UNESCO-protected Yangtze River. In some of the rural heartlands, indeed, the tableau of life can seem little changed from 50 years ago, at least on the surface. China is full of endless quirks and contradictions, but that’s half the charm.', '9,596,960 sq km (3,705,406 sq miles).', '1,382,323,332 (UN estimate 2016).', '142.5 per sq km.', 'Beijing.', ""People's Republic. China comprises 23 provinces (China considers Taiwan its 23rd province), five autonomous regions, two special administrative regions and four municipalities directly under central government."", 'President Xi Jinping since 2013.', 'Premier Li Qiang since 2023.']"
asia,east-timor,"['Following its indepedence on 20 May 2002, East Timor became the only Asian country to be located completely in the Southern Hemisphere.', 'The Portuguese first arrived on the island in the early 16th century and by the 1550s had occupied the eastern part. The Dutch took control of the western part, which became part of the Dutch East Indies and, after independence, Indonesia. In 1975, the new left-wing Portuguese government relinquished all of its colonies. East Timor then enjoyed just a few days of independence, before the Indonesians annexed it as their 27th province. There was little local resistance and the international community largely acquiesced.', 'In the aftermath, the main independence movement faced a savage counter-insurgency, during which the Indonesian army killed over 100,000 East Timorese. Finally, a referendum was offered to East Timor in 1999, and 80% opted for independence. Violent reprisals by the military followed, but the country eventually became independent.', 'Colonial architecture, Portuguese fortresses and other treasures from the 100-year Portuguese occupation can be found all over the country. However, many towns and villages were destroyed during the Indonesian occupation and the fighting in 1999, and these are only slowly being rebuilt. Many houses are still erected on stilts in the traditional way, using local materials such as grass, bamboo, tree trunks and palm leaves.', ""Despite the tragic recent history, East Timor's immaculate reefs, little-trodden mountain paths and rich, traditional cultural that has endured in the face of war make it a true hidden gem. Hiking in the hills will bring you to otherworldly jungle caves, while exploring settlements away from the capital of Dili give a taste of village life. Well off the beaten track, East Timor is still getting back on its feet, but is a raw and compelling destination."", '14,919 sq km (5,760 sq miles).', '1,211,245 (UN estimate 2016).', '82.5 per sq km.', 'Dili.', 'Republic.', 'President José Ramos-Horta since 2022.', 'Prime Minister Taur Matan Ruak since 2018.']"
asia,china,"['Steamy and gargantuan, Hong Kong has evolved into one of Asia’s most lovable cities. Its incredible skyline – part neon, part steel-and-glass, part towering hills – is one of the most majestic in the world, but it’s a mere backdrop to the 24-hour flurry of activity that makes Hong Kong what it is.', 'From its boat-buzzed waterfront to its packed dim sum restaurants, its incense-smoked temples to its clattering teahouses, its street markets to its old-world hotels, Hong Kong is a destination teeming with energy. For travellers, the best advice is to go with the flow.', 'Situated at the mouth of the Pearl River Delta on China’s southwestern coast, Hong Kong is a city that has a remarkable mix of Eastern and Western influences. The handover of this territory from Britain to China was back in 1997, but the centuries of British rule still have a lasting legacy, tangible in everything from the grand period architecture to the local passion for horse-racing.', 'Even the name of Hong Kong’s centrepiece – the iconic Victoria Harbour – harks back to another era, and today there’s an international flavour to the destination that sets it apart from other Chinese cities. The gastronomy, nightlife and shopping are all world-class.', 'Hong Kong Island, with its glistening skyscrapers and high-end shopping malls, is in many ways the heartbeat of the city. Get down to street level, however, and the laneways, wet markets and traditional Chinese haunts are a reminder that beyond the city lies a working class populace still making ends meet the old fashioned way – and often the hard way.', 'It’s also worth remembering, of course, that there’s far more to Hong Kong than the city itself. Its natural attractions include hiker-friendly ranges, volcanic landscapes, pristine woodlands, sleepy islands, protected marine parks and miles of golden beaches.', '1,104 sq km (426 sq miles).', '7,346,248 (UN estimate 2016).', '6,468.4 per sq km.', 'Hong Kong.', ""Special Administrative Region of the People's Republic of China."", 'President of China Xi Jinping since 2013.', 'Chief Executive John Lee since 2022.']"
asia,india,"['As beautiful as it is bamboozling, India is an endlessly fascinating country that challenges and surprises even the most seasoned traveller.', 'Stretched between the golden beaches of the Indian Ocean and the snow-capped peaks of the Himalayas, India dazzles with an incredible tapestry of natural and man-made wonders. Home to some of the world’s most iconic monuments; its astounding temples, mystical monasteries, frenetic cities, pristine national parks, lavish palaces and mesmerising markets will capture and inspire your imagination.', ""Visiting India is an exciting assault on the senses. Sights, sounds, smells and sensations are all experienced at maximum intensity. It can feel intimidating on day one, but eventually, the noise and chaos become an ordinary part of everyday life. The sensory stimulation becomes strangely addictive. Presided over by an extraordinary array of gods and deities, approximately one-sixth of the planet's population can be found here, living in anything from high-rise apartments and inner-city shantytowns, to simple huts in remote villages. India is one of the world's great melting pots, where an incredible diversity of cultures, religions and ethnicities live in unexpected harmony."", 'An explorers paradise, you could spend a lifetime discovering the relics left behind from ancient empires and trekking its dramatic landscapes. From its tiger-filled jungles to the frozen Himalayan deserts, India’s veritable bounty of breath-taking scenery is sure to leave you awe-struck. On the first trip, almost everyone finds time for the so-called ‘Golden Triangle’; zipping from the colonial capital, Delhi, to the Taj Mahal at Agra, then on to Jaipur, the colourful capital of Rajasthan. With more time to spare, you can discover 36 UNESCO-listed sights ranging from creaking mountain railways and ancient fortresses to mangrove forests and temples overflowing with multi-armed deities.', 'Don’t expect to absorb all India has to offer in one visit; the country is best appreciated like a buffet table, with repeat visits to sample the next tantalising platter. And with India’s legendary cuisine, rest assured that on every trip, you will feast like a Maharaja.', '3,287,263 sq km (1,269,219 sq miles).', '1,339,180.13 (UN estimate 2017).', '450 per sq km.', 'New Delhi.', 'Federal republic.', 'President Draupadi Murmu since 2022.', 'Prime Minister Narendra Modi since 2014.']"
asia,indonesia,"[""Spread across the equator, Indonesia is a series of emerald jewels scattered across a broad expanse of tropical sea. This is one of the world's great adventures in waiting - hidden away in dense jungles on secret islands are tribes still living in isolation from the modern world and animals hardly known to science."", 'Indonesia is the fourth most populous nation on Earth with an incredible legacy of people, culture and geography just waiting to be explored. This archipelago boasts more than 18,000 islands, from tiny islets not much bigger than a palm tree to rugged expanses of land like Borneo, shared with the Malaysian states of Sabah and Sarawak.', ""Many visitors come specifically to seek out their own island paradise, complete with white-sand beaches, swaying palms and emerald waters. Below the waters, there are some of the world's best dive sites, swarming with huge sunfish, giant rays, sharks, porpoises, turtles and a blindingly colourful array of tropical fish."", ""For others, the attraction is cultural. A fascinating range of civilisations has developed across these tropical islands, from animist tribes in remote jungle villages to the elaborate Hindu kingdoms of Bali and Java. In Indonesia, timeless temples jostle for space with golden-domed mosques and beach resorts crowded with sun-seekers and surfers. The surf resort of Kuta in Bali has become one of the world's favourite tropical escapes, and the beach parties rave through till dawn every day of the week."", ""Those in search of a real escape can venture to the volcanic islands that drift eastwards towards Australia. There are towering volcanoes to be climbed, national parks to be explored and tropical rainforests to be trekked. You might even get lucky and meet a babirusa endemic to Sulawesi or the world's largest living reptile on the island of Komodo, home to the eponymous Komodo dragon."", 'Best of all, flights and ferries link all of the major islands, so you can island-hop right across the archipelago, stopping only when you find your own perfect piece of Southeast Asia.', '1,904,569 sq km (735,358 square miles).', '269,544,949\xa0(2019)', '140.08 per sq km.', 'Jakarta', 'Republic.', 'President Joko Widodo since 2014.', 'President Joko Widodo since 2014.']"
asia,japan,"[""From kimono-clad geishas singing traditional songs in Kyoto to manga-crazed teenagers whizzing around Akihabara 'Electric Town' in Tokyo, Japan is a fascinating land of contrasts, a heady mix of tradition and modernity that often bewilders but never bores."", 'Nowhere in the world blends the old and new quite like Japan. The speed of new technological developments here is matched only by the longevity of its ancient customs and traditions. The country is a pioneer in the fields of design, technology and fashion. You can set your watch by the trains, eat meals that look like works of contemporary art and relieve yourself in the most technologically advanced toilets on the planet (some even talk to you).', ""Paradoxically, Japan's embrace of the cutting edge is offset by its revered cultural traditions and celebrated historic achievements. Ancient castle ruins, atmospheric Shinto shrines and fascinating festivals are never far away, with cultural highlights including the striking Osaka Castle and Kyoto's iconic Temple of the Golden Pavilion. There's also evidence of Japan's dramatic recent history in cities like Hiroshima and Nagasaki, where nuclear bombs were dropped with devastating consequences during WWII."", ""If you love nature, you will adore Japan. This is a country swathed in natural beauty. Ski the powdery slopes of Hokkaido, revel in the springtime beauty of the 'sakura' cherry blossoms, frolic in the sun-drenched beaches and turquoise waters of subtropical Okinawa, or climb up the iconic Mount Fuji. Wherever you go, good food is guaranteed – from fresh sushi and sashimi to charcoal-fired meats and sizzling sauces; Japan is a joy for gastronomes."", ""It is also a land of wild eccentricities, where you can watch men strip at the festival of Hadaka Matsuri or get amorous in one of the country's many short-stay love hotels. These facets might jar somewhat with Japan's polished image, but they help make it one of the most exciting destinations on the planet."", '377,915 sq km (145,913 sq miles).', '126,476,461 (UN estimate 2020).', '334.62 per sq km (129.2 sq miles).', 'Tokyo.', 'Constitutional monarchy.', 'Emperor Naruhito since 2019.', 'Prime Minister Fumio Kishida since 2021.']"
asia,kazakhstan,"[""Unexplored by many, Kazakhstan is a curious yet little-known land of vast plains, mountainous horizons and beautiful culture. Bordering Russia in Central Asia, it's truly massive in size – this is, after all, ranked as the world's ninth biggest country. It's also the most economically successful of those countries surrounding it, known fondly as the 'stans'. This is largely thanks to oil reserves, as well as other natural resources. The upshot? You can expect more modern, higher-quality hotels, restaurants and travel options compared to some of the country's poorer neighbours."", 'South Kazakhstan is a focus of Central Asian history, featuring many famous monuments. It is a scenically diverse region where the snow-capped peaks, lakes and glaciers of the Tian Shan range give way to steppe and desert. The desert is home to the Singing Barkhan - a sand dune 3.2km (2 miles) long, which, as it crumbles, produces a peculiar singing sound.', ""Almaty was until very recently the former capital of Kazakhstan and it enjoys a beautiful setting between mountains and plains. Still the country's biggest city, it is a hub of modern architecture, cool fountains, parks and spectacular mountain views. You can also expect irreverent nightspots, trendy cafes, and palatial malls there. The present capital of Nur-Sultan (Astana) is following in its predecessor's footsteps as a modern metropolis, with its space-age buildings clinging to the northern steppe."", ""The truth is, though, that travellers are more likely to be attracted to Kazakhstan's natural wonders. It's a beautiful country in its own haunting way, where intrepid travellers will enjoy hiking through the lofty mountains and down in the valleys of the Tian Shan. Its sparseness can seem mind-boggling, but you'll find plenty of wildlife if you look for it, especially in the lake-strewn steppe. It's also worth seeking out the underground mosques and villages that are scattered about the land. All in all, Kazakhstan is a special, unique country well worth discovering despite it being low on the radar of most tourists."", '2,724,900 sq km (1,052,089 sq miles).', '17,855,384 (UN estimate 2016).', '6.7 per sq km.', 'Astana.', 'Republic.', 'President Kasymzhomart Tokayev since 2019.', 'Prime Minister Olzhas Bektenov since 2024.']"
asia,kyrgyzstan,"['Often referred to as the “Switzerland of Central Asia”, Kyrgyzstan certainly lives up to this moniker with its soaring mountain ranges, glistening glaciers and vertiginous pine forests. If it feels like you’re on top of the world, that’s because you’re not far off.', 'Despite its ubiquitous natural beauty and considerable size, few people can point to this landlocked nation on the map let alone pronounce its name (it’s Kur-gi-stan, by the way). Even fewer actually visit.', 'This is due largely to Kyrgyzstan’s geographical isolation, but also because it has been out in the cold politically – since gaining independence from the USSR, the country has remained well under the influence of neighbouring Russia.', 'Visitor numbers are increasing, but a short tourist season, an underdeveloped infrastructure and poor air links remain obstacles for all but the intrepid traveller. However, those who do make it here are guaranteed an experience they won’t have to share with the crowds.', 'Although mountains dominate, Kyrgyzstan’s landscapes are surprisingly varied: snow-capped peaks eventually give way to open plains and shimmering lakes. It really does look Switzerland in places, but elsewhere the countryside can conjure up images of Scotland, Kashmir and even the Middle East.\xa0The mountain vistas alone are reason enough to visit and no trip to Kyrgyzstan would be complete without trekking up at least one of its impressive summits.', 'For less active visitors there are a handful of beaches to speak of and, in the small window that passes as summer, holidaymakers can be found bathing on the shores of lakes such as Issyk Kul. Located in the Tian Shan mountains, this is a summer resort for the brave – the water here is bracing to say the least.', 'It’s not all about the landscapes, though. In fact a big draw for tourists is the prospect of staying with the country’s semi-nomadic shepherds, who live in yurts and eke out traditional lives in this harsh, unforgiving and unremittingly beautiful country.', '199,951 sq km (77,201 sq miles).', '6,033,769 (UN estimate 2016.', '28.3 per sq km.', 'Bishkek.', 'Republic.', 'President Sadyr Japarov\xa0since 2021.', 'Chairman of the Cabinet of Ministers Akylbek Japarov\xa0since 2021.\xa0']"
asia,laos,"[""Laos – officially known as the Lao People's Democratic Republic – is one of the great travel frontiers; landlocked and mountainous, swamped by jungles and promising Indian Jones adventures in remote tribal villages and ancient Buddhist caves."", 'With Thailand on one side and Vietnam on the other, you might expect Laos to be commercial and crowded, but this is Asia’s backwater, where life moves as slowly as the churning waters of the Mekong River, which forms the border with three countries – Myanmar, Thailand and Cambodia – as it snakes south towards the Gulf of Thailand.', 'A long-running civil war – during which the USA dropped millions of bombs in Laos – kept the country off the mainstream tourist circuit for many years. Unexploded ordnance and poor infrastructure continue to pose a challenge to tourism, but each year brings a new crop of upmarket accommodation to supplement the existing backpacker hostels – Laos\xa0is finally finding its feet. Eco-tourism looks set to be its trump card, taking visitors to remote tribal villages and pristine national parks teeming with weird and wonderful wildlife.', 'Despite this rugged outlook, the capital city, Vientiane, feels remarkably cosmopolitan, helped by a café culture left behind from when this was part of French Indochina. Dotted around its pleasantly faded, palm-shaded streets are ancient ruins, gleaming stupas and graceful colonial buildings.', 'The laidback atmosphere and the relative lack of modern development make Laos perhaps the most authentic and unspoiled of the Southeast Asia nations, though it competes for this title with neighbouring Myanmar. Laos is also one of the few communist countries left in the world – which should be obvious from the bureaucratic red tape and the omnipresent red stars on uniforms and state buildings.', 'Until 1988, tourists were banned from Laos, but now it is possible to travel all over the country. Nevertheless, there are few crowded tourist hotspots, with the possible exception of monastery-studded Luang Prabang and the overblown backpacker resort of Vang Vieng. Wherever you go in Laos, you’ll encounter the delectable Lao cuisine: a little bit French, a little bit Southeast Asian, and perfect washed down with a bottle of Beer Lao.', '236,800 sq km (91,400 sq miles).', '6,918,367 (UN estimate 2016).', '29.2 per sq km.', 'Vientiane.', ""People's Republic."", 'President Thongloun Sisoulith since 2021.', 'Prime Minister Phankham Viphavanh since 2021.']"
asia,china,"['Slipping more and more comfortably into its reputation as the “Vegas of the East,” Macau plays host to a dizzying array of large-scale casino resorts. Famously the world’s biggest gambling hub, it is one of two Special Administrative Regions of the People’s Republic of China – the other being neighbouring Hong Kong.', 'Macau showcases many of the same brands as its Nevada counterpart: MGM, Wynn and Sands are all in town, while its flagship Venetian Resort – complete with canals and mock Italianate plazas – is currently the largest casino on the planet.', ""But there’s more to the destination than poker tables and betting halls. When Macau's historic centre was added to the UNESCO World Cultural Heritage list in 2005, it underlined the strategic and cultural importance which the territory has had over the centuries."", 'Portuguese colonists arrived in the mid-16th century and developed Macau into a major regional trading post. They held onto it long after it had been eclipsed by Hong Kong as a magnet for merchants; longer than they held onto Goa or Brazil.', 'Overlooking the South China Sea, Macau consists of a peninsula and two small islands, Taipa and Coloane. The three areas have been artificially joined by land reclamation, much of which is covered in casinos. Mercifully, it is possible to escape the neon lights and gambling dens in Macau’s urban parks and historic centre, where colonial Portuguese architecture sits among the bustle of a modern Asian city.', 'The street stalls and restaurants of the old town are also a fine introduction to local food, which encompasses traditional Chinese and Portuguese dishes alongside Goan, Brazilian and African influences.', '28.2 sq km (10.9 sq miles).', '601,969 (CIA estimate July 2017).', '21,346.4 per sq km.', ""Special Administrative Region of the People's Republic of China."", 'President of China Xi Jinping since 2013.', 'Chief Executive Ho Iat Seng\xa0since 2019.']"
asia,malaysia,"['With reefs and rainforests, mountains and minarets, skyscrapers and sampans, Malaysia certainly lives up to its slogan: “truly Asia.”\xa0One of the world’s great cultural melting pots, Malaysia is a nation where Chinese joss houses, Hindu temples and gold-domed mosques jostle for space with towering skyscrapers. The British once presided over this fascinating sampling platter of Asian culture, leaving behind a legacy of hill stations, polo fields and high tea.', 'In fact, Malaysia offers two countries for the price of one; Peninsular Malaysia, bordering Thailand at the southern end of the Malay Peninsula; and East Malaysia, the northern half of the island of Borneo, nuzzling up against Indonesia and Brunei. This opens up some spectacular opportunities for nation-hopping across Southeast Asia.', 'Malaysia’s supercharged capital, Kuala Lumpur, resembles a crystal garden that has grown miraculously in the jungle. Indeed, pockets of virgin rainforest still survive amongst the towering skyscrapers, multi-storey shopping malls and monorail tracks. If you do nothing else, devote a day to sampling KL’s street food; from Chinese noodles and Indian dosas (rice pancakes) to aromatic and spicy Malay curries and seafood.', 'Away from the cities, untamed nature awaits, in the form of jungles dripping with rare and exotic species and coral reefs thronged by turtles, sharks and tropical fish. Malaysia’s national parks and wildlife reserves are well-organised and well looked after, and you might be lucky enough to meet Malaysia’s most charismatic resident, the orang-utan (literally, “forest man”).', 'Then there are the islands; tropical resorts such as Langkawi, Tioman and the Perhentian Islands have become almost legendary for fans of swaying palms, sparkling sand and scuba diving on pristine reefs. Malaysia’s dive sites – particularly those reached on live-aboard safaris – rank amongst the best in the world.', 'Peninsular Malaysia is where people go for bustling cities and colonial history, but the states of Sabah and Sarawak on Borneo are the gateway to another world. Lush rainforests are inhabited by isolated indigenous tribes, whose traditional way of life is vanishing fast as the modern world encroaches; catch it now before they put up a parking lot.', '329,847 sq km (127,355 sq miles).', '30,751,602 (UN estimate 2016).', '92.5 per sq km.', 'Kuala Lumpur.', 'Constitutional monarchy.', 'Ruler with the title of yang di-pertuan agong (paramount ruler): Tuanku Ibrahim Ismail ibni al-Marhum Sultan Iskandar\xa0since 2024.', 'Prime Minister Datuk Seri Anwar Ibrahim since November 2022.']"
asia,maldives,"[""The Maldives is a by-word for luxury, romance and tropical bliss. A beautiful string of low-lying coral islands in the Indian Ocean, they're also a paradise for diving enthusiasts and sun-seekers alike."", ""The country's 26 natural atolls and over 1,000 islands boast uniformly perfect coasts dropped like pearls in the warm waters of turquoise blue lagoons. With bright white powdery sand fringing most of the islands, it’s not surprising that over a million visitors come here each year."", 'The tourism industry began to blossom in the 1970s and now is the Maldives’ most lucrative industry. The luxury market is its unique selling point, and it is home to some of the world’s best hotels. Pretty much every resort has its own private island, complete with personal butlers and in-room massages. Such opulence has made it a firm favourite with honeymooners, who revel in the possibility of escaping to a romantic haven. The islands also offer slightly less pricey options, and some resorts are aimed at families and divers.', 'The Maldives are extremely low lying (80% of the territory is less than 1m/3.3ft above sea level). As such, the islands have worked hard to become one of the most environmentally friendly countries on earth and continue to so. Luxury and tourism have often been essential in providing economic benefits to local inhabitants who struggle to utilise local resources.', 'Recently, it has become more feasible on the Maldives for independent travellers and backpackers to avoid the luxury hotels and stay among the local people. The growing number of private guesthouses may well give the Maldives a new lease of life away from big-money tourism. What luxury means, after all, is in the eye of the beholder.', '298 sq km (115 sq miles).', '515, 596 (World Bank estimate, 2018).', '1,102.5 per sq km (2,855.5 per sq miles).', 'Malé.', 'Republic.', 'President Mohamed Muizzu since 2023.', 'President Mohamed Muizzu since 2023.']"
asia,mongolia,"['Mongolia is far-flung and hardly well-trodden, but do not let that put you off. There is so much to see and do in this sizeable Central Asian country, from the stunning scenery and wildlife of mountains and deserts to the emerging luxury hotels and restaurants in the capital, Ulaanbaatar.', ""In the ancient land of Mongolia, history buffs and culture vultures will find plenty to keep them entertained. Outside of the main cities, many Mongolians continue to hold on to the traditional life of herdsmen. Residing in portable felt and canvas tents (known as 'ger'), the modern-day Mongolian nomads move from one place to another in search of shelter, water supply and food for themselves and their animals."", ""Mongolia's vast areas of wilderness, from the sprawling Gobi Desert to the snow-peaked mountains located in the Bayan-Ölgii Province, offer plenty of scope for adventurous outdoor enthusiasts. Fishing, jeep tours, horse and camel riding, mountain biking and birdwatching are but a few of the activities on offer. Intrepid visitors can also explore numerous temple ruins like Mañjuśrī Monastery on the slopes of Bogd Khan Mountain or Ongi Monastery in the Dundgovi Province."", ""While infrastructure remains relatively underdeveloped in vast swathes of rural Mongolia, elsewhere the country is racing headlong into the 21st century. The capital Ulaanbaatar is transforming at a pace that any returning visitors will find dizzying. In a relatively short space of time, the city has turned into an ultra-modern metropolis with international restaurants, five-star hotels, shopping malls and glass tower blocks – a sure sign of Mongolia's status as an up-and-coming Asian travel hotspot."", 'While there is plenty of nightlife and excitement in Ulaanbaatar, do not visit Mongolia without exploring the wild, largely unspoilt landscapes and traditional lifestyle of its inhabitants. Leaving the capital does not mean being stranded from civilisation. Internet is now available even in small villages and it is not uncommon to see nomads toting mobile phones. It is perhaps this contrast that makes Mongolia such a fascinating destination to visit today. Get planning your trip now before the tourist hordes inevitably catch on.', '1,564,116 sq km (603,909 sq miles).', '3,234,703 (2019).', '2.06 per sq km.', 'Ulaanbaatar.', 'Republic.', 'President Ukhnaagiin Khürelsükh\xa0since 2021.', 'Prime Minister Oyun-Erdene Luvsannamsrai since 2021.']"
asia,myanmar,"['Once a pariah state, Myanmar – previously known as Burma – is fast becoming the must-see destination in Southeast Asia, helped by an incredible array of tourist sights: golden stupas as tall as skyscrapers, ancient ruins, fascinating hill tribes, unexplored jungles, peaceful beach resorts, legions of monks, and mesmerising cities made legendary by writers like Rudyard Kipling and George Orwell.', 'Ruled by a secretive military junta, Burma was closed for decades to the outside world. When it finally opened, travellers were initially restricted to a handful of locations: the magnificent temples of Bagan, the floating villages of Inle Lake, the monasteries of Mandalay, and Yangon, the former capital, with its colonial relics and towering pagodas.', 'That was then. With the end of the travel boycott called by Aung San Suu Kyi, travellers are queuing up to visit Myanmar, captivated by the idea of seeing what Asia was like before the tourists arrived. Nevertheless, the government still controls where visitors can go and what they can see, and many people have qualms that their tourist dollars help fund the military, which stands accused of widespread abuses.', 'Those who do visit discover a fascinating, and famously friendly culture on the threshold between tradition and modernity. Monasteries are the foundation of Burmese society and even in rapidly expanding Yangon life is focused on Buddhist rituals. The sense of devotion is tangible at the awe-inspiring Shwedagon Paya, which towers over Yangon like an enormous golden pillar.', 'As Myanmar has opened up to the outside world, travellers have pushed beyond the Bagan-Inle-Mandalay triangle, visiting peaceful outposts like Kalaw, Hsipaw and Kengtung and trekking to remote tribal villages. Smaller numbers make it to the jungles of northern Myanmar or the rain-drenched ports of the far south and west. Myanmar even has its own patch of the Himalaya, accessed from remote Putao in the far north.', 'Through it all, the mighty Irrawaddy River snakes like a twisting Burmese python, offering some of the most atmospheric river journeys in Southeast Asia. Nevertheless, Myanmar remains a controversial destination, promising significant challenges as well as rewarding experiences.', '676,578 sq km (261,227 sq miles).', '54,363,426 (UN estimate 2016).', '83.2 per sq km.', 'Nay Pyi Taw.', 'Republic.', 'Acting President Myint Swe since 2021, transferred all authority to Senior Gen. Min Aung Hlaing.', 'Acting President Myint Swe since 2021, transferred all authority to Senior Gen. Min Aung Hlaing.']"
asia,nepal,"['Officially the highest country on Earth, lofty Nepal is commonly referred to as the “roof of the world.” That seems like a fitting moniker for this Himalayan nation, where soaring, snow-capped mountains disappear into the clouds like stairways to heaven.', 'Mount Everest is the star attraction. Tourists come in their droves to climb, hike and admire the world’s tallest peak, which flirts with the stratosphere at 8,848m (29,029ft).\xa0But this charming country is much more than just mountains.', 'The birthplace of Gautama Buddha, Nepal is an important pilgrimage site for millions of Buddhists, who come from far and wide to visit the UNESCO World Heritage Site of Lumbini, a temple complex where Buddha once lived.', 'Holy places abound in Nepal, but not just of the Buddhist variety; Hinduism has a strong foothold in the country and there are many Hindu temples scattered across the country (though some have been severely damaged by the 2015 earthquakes).', 'Also hit hard was the Nepali capital, Kathmandu, which is encircled by soaring mountain ranges. A beautiful, bustling city it stands at a cultural crossroads between India and China, whose influences can be seen in the architecture and tasted in the cuisine. Meanwhile, a Western vibe prevails in the lively Thamel district, which is lined with bars.', 'Kathmandu is a good starting point for travellers venturing into the jungle at Chitwan National Park, which is home to Bengali tigers, crocodiles and one-horned rhinos, plus myriad bird species. Phewa Lake is another draw for tourists, as are the hiking trails in the Himalayas.', 'Wherever you go though, wide smiles will be there to greet you; Nepalese people are amongst the friendliest in the world and it’s not uncommon to be invited into a stranger’s home for tea.', 'Sitting atop the world, Nepal is just one step away from heaven – and for those who have discovered the country’s many charms, it feels like it too.\xa0', '147,181 sq km (56,827 sq miles).', '28,850,717 (UN estimate 2016).', '214.4 per sq km.', 'Kathmandu.', 'Republic.', 'President Ram Chandra Poudel since 2023.', 'Prime Minister Pushpa Kamal Dahal\xa0since 2022.']"
